"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",112.268,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",114.578,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",95.496,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",100.599,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",101.755,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",104.2,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",106.383,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",105.453,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",102.902,"
"DNK,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",105.479,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",121.567,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",112.79,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",115.36,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",122.271,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",122.682,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",123.071,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",122.003,"
"DNK,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",124.014,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",130.237,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",136.319,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",142.275,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",139.32,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",138.362,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",141.924,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",146.183,"
"FIN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",147.521,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",116.158,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",123.821,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",129.632,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",124.516,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",124.49,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",126.841,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",130.799,"
"FIN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",130.043,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",144.817,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",149.278,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",155.366,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",154.683,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",152.75,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",157.592,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",162.188,"
"FIN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",165.753,"
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",,""M"""
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",,""M"""
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",,""M"""
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",,""M"""
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",127.584,"
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",130.321,"
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",128.013,"
"FRA,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",128.225,"
